trans_id,user_id,merchant_id,device_id,amount,timestamp
t_0,user_1425,merch_2152,device_1516,1674.72,2025-12-02T21:21:16.957212
t_1,user_1706,merch_696,device_1393,404.23,2025-10-20T21:32:07.973204
t_2,user_3562,merch_1707,device_633,1724.76,2025-10-21T14:09:39.973204
t_3,user_2596,merch_164,device_1563,1412.82,2025-12-22T11:29:24.973204
t_4,user_221,merch_2234,device_839,978.49,2025-10-04T21:17:26.973204
t_5,user_1307,merch_381,device_360,1941.02,2025-12-23T10:28:57.973204
t_6,user_1338,merch_1018,device_1731,1434.53,2025-10-31T14:52:53.973204
t_7,user_627,merch_314,device_1536,686.59,2025-11-27T18:44:32.973204
t_8,user_3977,merch_848,device_1325,409.83,2025-11-18T07:31:29.973204
t_9,user_368,merch_2398,device_1112,3106.56,2025-11-07T01:32:12.973204
t_10,user_3220,merch_2340,device_1213,1517.16,2025-10-29T23:43:48.973204
t_11,user_606,merch_2032,device_696,1096.62,2025-11-15T15:09:58.973204
t_12,user_1949,merch_1933,device_748,963.38,2025-10-29T13:53:51.973204
t_13,user_2245,merch_517,device_573,7000.0,2025-11-25T19:06:32.973204
t_14,user_1632,merch_1903,device_418,667.5,2025-10-14T04:11:28.973204
t_15,user_3121,merch_371,device_1935,1062.02,2025-10-06T04:59:00.973204
t_16,user_811,merch_436,device_539,712.57,2025-10-06T03:45:48.973204
t_17,user_2298,merch_1285,device_658,539.22,2025-10-13T02:36:47.973204
t_18,user_1008,merch_2064,device_1655,288.2,2025-11-17T01:59:16.973204
t_19,user_3181,merch_1168,device_422,2033.8,2025-11-28T10:47:51.973204
t_20,user_460,merch_1260,device_525,698.14,2025-11-08T19:15:33.973204
t_21,user_1496,merch_1512,device_791,3188.64,2025-09-30T19:41:50.973204
t_22,user_1411,merch_2219,device_605,571.01,2025-10-17T18:19:41.973204
t_23,user_3152,merch_268,device_807,469.85,2025-10-27T02:02:55.973204
t_24,user_2524,merch_54,device_929,600.22,2025-12-28T19:23:37.973204
t_25,user_2552,merch_2378,device_659,1253.06,2025-12-22T10:10:35.973204
t_26,user_3785,merch_2041,device_1006,1013.32,2025-10-02T06:56:47.973204
t_27,user_2807,merch_2273,device_1017,2878.16,2025-10-06T21:21:40.989061
t_28,user_460,merch_45,device_231,1937.29,2025-12-02T05:34:37.989061
t_29,user_3886,merch_2235,device_1999,7000.0,2025-10-30T05:31:15.989061
t_30,user_3558,merch_467,device_21,664.27,2025-10-05T05:37:29.989061
t_31,user_56,merch_1521,device_897,323.96,2025-12-10T19:46:18.989061
t_32,user_1249,merch_2259,device_589,1059.3,2025-11-05T14:11:46.989061
t_33,user_1359,merch_2357,device_1875,2630.29,2025-10-19T16:25:36.989061
t_34,user_867,merch_85,device_1842,331.7,2025-10-24T05:31:34.989061
t_35,user_3073,merch_429,device_352,1745.9,2025-10-19T06:26:09.989061
t_36,user_2551,merch_1408,device_1281,1152.74,2025-12-23T12:47:12.989061
t_37,user_2847,merch_1497,device_376,1785.9,2025-10-07T18:18:49.989061
t_38,user_1542,merch_2484,device_162,1190.98,2025-11-05T14:05:27.989061
t_39,user_178,merch_1664,device_945,2821.27,2025-10-15T07:56:53.989061
t_40,user_1163,merch_1963,device_62,1018.1,2025-11-23T06:04:57.989061
t_41,user_217,merch_76,device_947,851.25,2025-12-13T05:13:57.989061
t_42,user_272,merch_1963,device_475,835.21,2025-10-13T17:16:44.989061
t_43,user_2715,merch_2319,device_128,1416.6,2025-10-14T02:21:38.989061
t_44,user_3540,merch_43,device_686,305.33,2025-12-25T00:12:45.989061
t_45,user_3552,merch_966,device_1074,2575.26,2025-10-09T11:06:54.989061
t_46,user_946,merch_703,device_1067,4693.09,2025-10-23T11:54:27.989061
t_47,user_2906,merch_131,device_321,2286.82,2025-10-09T05:46:29.989061
t_48,user_1985,merch_2466,device_362,2416.03,2025-10-28T10:14:01.989061
t_49,user_360,merch_2231,device_526,913.32,2025-11-19T12:42:16.989061
t_50,user_3959,merch_1943,device_1053,1188.82,2025-10-16T16:29:12.989061
t_51,user_162,merch_286,device_1801,1579.68,2025-11-02T13:29:06.989061
t_52,user_1248,merch_1082,device_88,282.43,2025-11-20T04:59:02.989061
t_53,user_2006,merch_310,device_1445,1128.62,2025-11-25T22:57:21.989061
t_54,user_3049,merch_1884,device_680,478.79,2025-12-27T10:52:02.004735
t_55,user_2802,merch_961,device_1870,288.98,2025-12-21T10:49:00.004735
t_56,user_967,merch_1592,device_1026,1762.98,2025-10-15T17:22:46.004735
t_57,user_1129,merch_643,device_1935,312.44,2025-12-12T21:51:26.004735
t_58,user_3599,merch_555,device_1022,638.6,2025-11-26T09:01:38.004735
t_59,user_3867,merch_106,device_526,991.14,2025-11-13T15:26:59.004735
t_60,user_923,merch_314,device_1363,341.0,2025-11-02T11:29:54.004735
t_61,user_2690,merch_1318,device_1875,6581.84,2025-10-06T21:45:26.004735
t_62,user_359,merch_2059,device_305,2992.81,2025-10-18T01:13:09.004735
t_63,user_3934,merch_59,device_964,687.06,2025-12-11T17:15:51.004735
t_64,user_1709,merch_1284,device_624,774.75,2025-12-06T09:16:12.004735
t_65,user_1746,merch_1588,device_1038,1768.1,2025-11-09T12:16:59.004735
t_66,user_1348,merch_337,device_127,1305.9,2025-11-14T10:34:21.004735
t_67,user_846,merch_908,device_197,931.34,2025-10-16T10:37:32.004735
t_68,user_2801,merch_944,device_315,7000.0,2025-11-15T11:06:01.004735
t_69,user_1265,merch_1294,device_619,929.98,2025-12-28T22:24:17.004735
t_70,user_3725,merch_2251,device_7,1198.15,2025-12-19T10:04:33.004735
t_71,user_2687,merch_398,device_384,3631.98,2025-10-12T07:54:05.004735
t_72,user_1300,merch_2375,device_534,7000.0,2025-10-02T09:43:51.004735
t_73,user_3885,merch_2488,device_619,757.66,2025-12-13T04:15:55.004735
t_74,user_1300,merch_319,device_638,715.49,2025-12-28T18:41:24.004735
t_75,user_2978,merch_2432,device_836,1071.34,2025-11-13T20:34:37.004735
t_76,user_3605,merch_2380,device_264,656.8,2025-10-21T08:43:51.004735
t_77,user_1242,merch_666,device_301,530.09,2025-10-25T21:46:09.004735
t_78,user_622,merch_219,device_1036,1070.65,2025-11-07T15:34:16.004735
t_79,user_538,merch_1293,device_10,472.82,2025-12-23T04:47:31.004735
t_80,user_2480,merch_1574,device_514,1453.09,2025-12-08T09:16:26.004735
t_81,user_2442,merch_1341,device_227,880.8,2025-10-30T01:28:48.004735
t_82,user_1471,merch_965,device_387,750.12,2025-10-30T00:58:57.020499
t_83,user_549,merch_2201,device_1792,1930.47,2025-12-15T13:17:33.020499
t_84,user_2916,merch_623,device_987,1939.69,2025-12-07T17:15:27.020499
t_85,user_3490,merch_7,device_1065,165.0,2025-10-04T23:05:24.020499
t_86,user_563,merch_1741,device_774,594.33,2025-11-24T19:43:01.020499
t_87,user_132,merch_657,device_538,790.54,2025-11-10T18:11:08.020499
t_88,user_3790,merch_547,device_1106,1257.01,2025-10-04T16:01:16.020499
t_89,user_911,merch_251,device_984,3803.71,2025-10-02T19:37:11.020499
t_90,user_3103,merch_1846,device_1086,3440.57,2025-11-27T18:23:41.020499
t_91,user_270,merch_1413,device_1867,4122.14,2025-10-01T02:24:27.020499
t_92,user_3551,merch_2195,device_1142,785.75,2025-12-24T10:41:34.020499
t_93,user_3550,merch_650,device_1711,373.22,2025-11-18T11:37:18.020499
t_94,user_1751,merch_514,device_401,1698.94,2025-11-27T13:27:35.020499
t_95,user_2490,merch_1500,device_327,2171.4,2025-10-16T17:11:50.020499
